id,code,name
hr_ocupacion_1311004,1311004,Director de departamento de operaciones en empresa del sector de la silvicultura
hr_ocupacion_1212002,1212002,Director de departamento de personal
hr_ocupacion_1212005,1212005,Director de departamento de producción en empresa de intermediación
hr_ocupacion_1323001,1323001,Director de departamento de producción en empresa de la construcción
hr_ocupacion_1321008,1321008,Director de departamento de producción en empresa de la industria manufacturera
hr_ocupacion_1323003,1323003,Director de departamento de producción en empresa de obras públicas
hr_ocupacion_1412002,1412002,Director de departamento de producción en empresa de restaurantes
hr_ocupacion_1219003,1219003,Director de departamento de producción en empresa de servicios a empresa
hr_ocupacion_1311001,1311001,Director de departamento de producción en empresa del sector de la agricultura
hr_ocupacion_1311003,1311003,Director de departamento de producción en empresa del sector de la silvicultura
hr_ocupacion_1222001,1222001,Director de departamento de publicidad
hr_ocupacion_1212004,1212004,Director de departamento de relaciones laborales
hr_ocupacion_1222002,1222002,Director de departamento de relaciones públicas
hr_ocupacion_1221001,1221001,Director de departamento de ventas
hr_ocupacion_1211001,1211001,Director de departamento financiero
hr_ocupacion_1312001,1312001,Director de empresa de caza
hr_ocupacion_1322001,1322001,Director de explotación de minas
hr_ocupacion_1411002,1411002,Director de mantenimiento de hotel
hr_ocupacion_1411003,1411003,Director de mercadeo de hotel
hr_ocupacion_1114001,1114001,Director de organización no gubernamental
hr_ocupacion_1311005,1311005,Director de producción agropecuaria y silvicultura
hr_ocupacion_1344001,1344001,Director de servicios de bienestar social
hr_ocupacion_1343001,1343001,Director de servicios de cuidados de las personas de edad
hr_ocupacion_1341001,1341001,Director de servicios de cuidados infantiles
hr_ocupacion_1345001,1345001,Director de servicios de educación
hr_ocupacion_1342001,1342001,Director de servicios de salud
hr_ocupacion_2654002,2654002,Director de teatro
hr_ocupacion_2654003,2654003,Director de televisión
hr_ocupacion_1321003,1321003,Director del departamento de importación y exportación de la industria de confección
hr_ocupacion_1120001,1120001,Director general
hr_ocupacion_1211004,1211004,Director Gerente de agencia bancaria
hr_ocupacion_1211002,1211002,Director Gerente de empresa de administración y finanzas
hr_ocupacion_1324008,1324008,Director gerente de empresa de almacenamiento
hr_ocupacion_1324010,1324010,Director gerente de empresa de comunicaciones
hr_ocupacion_1221003,1221003,Director gerente de empresa de mercadeo y ventas
hr_ocupacion_1312002,1312002,Director gerente de empresa de pesca
hr_ocupacion_1219002,1219002,Director gerente de empresa de servicio personal
hr_ocupacion_1324005,1324005,Director gerente de empresa de transporte
hr_ocupacion_1321009,1321009,Director Gerente de industria manufacturera
hr_ocupacion_1349001,1349001,Director y gerente de servicios Profesional no clasificados bajo otros epígrafes
hr_ocupacion_1114006,1114006,Dirigente de asociación empresarial
hr_ocupacion_1114002,1114002,Dirigente de partido político
hr_ocupacion_1114003,1114003,Dirigente de sindicato de trabajadores
hr_ocupacion_3432001,3432001,Diseñador de interiores
hr_ocupacion_2163003,2163003,Diseñador de joyas
hr_ocupacion_2163001,2163001,Diseñador de modas
hr_ocupacion_2163004,2163004,Diseñador de muebles
hr_ocupacion_2166001,2166001,Diseñador gráfico y multimedia
hr_ocupacion_2521001,2521001,Diseñador y Administrador de bases de datos
hr_ocupacion_7513003,7513003,Distribuidor de leche fluida
hr_ocupacion_2310001,2310001,Docente universitario
hr_ocupacion_2622002,2622002,Documentalista
hr_ocupacion_6121018,6121018,Domador de caballos
hr_ocupacion_7522003,7522003,Ebanista
hr_ocupacion_2631001,2631001,Economista
hr_ocupacion_2631004,2631004,Economista con especialidad en comercio internacional
hr_ocupacion_2631006,2631006,Economista con especialidad en econometría
hr_ocupacion_2631003,2631003,Economista con especialidad en finanzas públicas
hr_ocupacion_2631002,2631002,Economista con especialidad en moneda y banca
hr_ocupacion_2631005,2631005,Economista con especialidad en proyectos de desarrollo
hr_ocupacion_5152002,5152002,Ecónomo y mayordomo doméstico
hr_ocupacion_5241004,5241004,Edecan
hr_ocupacion_2642003,2642003,Editor
hr_ocupacion_2352002,2352002,Educador para necesidades especiales.
hr_ocupacion_2433002,2433002,Ejecutivo de ventas
hr_ocupacion_7313004,7313004,"Elaborador  de trofeos, medallas, plaquetas conmemorativas y afines."
hr_ocupacion_7516001,7516001,Elaborador de puros
hr_ocupacion_7125002,7125002,Elaborador de vitrales
hr_ocupacion_2636016,2636016,Elder
hr_ocupacion_7231008,7231008,Electricista automotriz (electromecánico de vehículos)
hr_ocupacion_7412001,7412001,Electricista especializado en maquinaria textil
hr_ocupacion_7411001,7411001,Electricista instalador domiciliar
hr_ocupacion_7411002,7411002,Electricista instalador industrial
hr_ocupacion_7411003,7411003,Electricista reparador de electrodomésticos.
hr_ocupacion_7412002,7412002,Electromecánico
hr_ocupacion_7412003,7412003,Electromecánico industrial
hr_ocupacion_9321001,9321001,Embalador a mano
hr_ocupacion_5163001,5163001,Embalsamador de cadáveres
hr_ocupacion_7511002,7511002,Embutidor
hr_ocupacion_7511003,7511003,Embutidor (productos porcinos)
hr_ocupacion_4221003,4221003,Emisor de billetes aéreos
hr_ocupacion_9321004,9321004,Empacador de mármol
hr_ocupacion_7215001,7215001,Empalmador de cables
hr_ocupacion_9321002,9321002,Empaquetador
hr_ocupacion_4415001,4415001,Empleado de archivos
hr_ocupacion_4222001,4222001,Empleado de call center ( centro de atención a llamadas )
hr_ocupacion_4321003,4321003,Empleado de despacho de mercadería en la empresa
hr_ocupacion_4321004,4321004,Empleado de distribución de mercadería a domicilio
hr_ocupacion_4211004,4211004,Empleado de emisión de billetes
hr_ocupacion_4225001,4225001,Empleado de información
hr_ocupacion_9112004,9112004,Empleado de limpieza
hr_ocupacion_4322001,4322001,Empleado de servicios de apoyo a la producción
hr_ocupacion_4323001,4323001,Empleado de servicios de transporte
hr_ocupacion_4312001,4312001,"Empleado de servicios estadísticos, financieros y de seguros"
